Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,262,2,0.0,42
2,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,732,3,0.0,220
3,CA-2016-138688,12/06/2016,16/06/2016,Second Class,DV-13045,OFF-LA-10000240,15,2,0.0,7
4,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,FUR-TA-10000577,958,5,0.5,-383
5,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,OFF-ST-10000760,22,2,0.2,3
6,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,FUR-FU-10001487,49,7,0.0,14
7,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,OFF-AR-10002833,7,4,0.0,2
8,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,TEC-PH-10002275,907,6,0.2,91
9,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,OFF-BI-10003910,19,3,0.2,6
10,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,OFF-AP-10002892,115,5,0.0,34
11,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,FUR-TA-10001539,1706,9,0.2,85
12,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,TEC-PH-10002033,911,4,0.2,68
13,CA-2017-114412,15/04/2017,20/04/2017,Standard Class,AA-10480,OFF-PA-10002365,16,3,0.2,5
14,CA-2016-161389,05/12/2016,10/12/2016,Standard Class,IM-15070,OFF-BI-10003656,408,3,0.2,133
15,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,OFF-AP-10002311,69,5,0.8,-124
16,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,OFF-BI-10000756,3,3,0.8,-4
17,CA-2014-105893,11/11/2014,18/11/2014,Standard Class,PK-19075,OFF-ST-10004186,666,6,0.0,13
18,CA-2014-167164,13/05/2014,15/05/2014,Second Class,AG-10270,OFF-ST-10000107,56,2,0.0,10
19,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,OFF-AR-10003056,9,2,0.0,2
20,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,TEC-PH-10001949,213,3,0.2,16
21,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,OFF-BI-10002215,23,4,0.2,7
22,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,OFF-AR-10000246,19,7,0.0,5
23,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,OFF-AP-10001492,60,7,0.0,16
24,US-2017-156909,16/07/2017,18/07/2017,Second Class,SF-20065,FUR-CH-10002774,71,2,0.3,-1
25,CA-2015-106320,25/09/2015,30/09/2015,Standard Class,EB-13870,FUR-TA-10000577,1045,3,0.0,240
26,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,OFF-BI-10001634,12,2,0.2,4
27,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,TEC-AC-10003027,91,3,0.0,12
28,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,FUR-BO-10004834,3083,7,0.5,-1665
29,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,OFF-BI-10000474,10,2,0.7,-7
